,title,description,release_date,genres,actors,duration,country,productions
264,Az almafa virága,,2023-02-16,['Romance'],"['Nari Nguyen', 'András Sütö', 'Dzhuliya Lam', 'Koltai Nagy Balázs', 'Péter Kálloy Molnár']",114,"Hungary, ",['HCM City Movie Association Film Studios']
265,What If,"When a pair of newlywed musicians get trapped in a storm on their island honeymoon, they must face difficult truths that could tear their marriage apart.",2023-09-07,"['Drama', 'Romance']","['Alessandra de Rossi', 'JM de Guzman', 'Chard Ocampo', 'Ana Abad-Santos', 'Nicole Omillo']",112,Philippines,['A World of Our Own']
266,The Blood Covenant,"The film follows the lives of Eddy, Jite and Osiano, three ambitious young men in their late twenties struggling to make it in life. Tired of being looked down upon, they embark on a relentless quest for the high life, chasing easy money, fast cars, and fame; willing to do whatever it takes no matter what it costs them.",2022-04-15,"['Drama', 'Thriller']","['Williams Uzor Arukwe', 'Shalewa Ashafa', 'Tobi Bakre', 'Demi Banwo', 'Omowunmi Dada']",109,Nigeria,['InkBlot Productions']
267,Cricket & Antoinette,"Two main characters, Cricket and Antoinette, represent two separate worlds, the world of noise, chaos and creativity on the one side, and the world of work, order and discipline on the other. As they fall in love, in spite of obvious differences, they manage to create harmony.",2023-01-03,"['Adventure', 'Animation', 'Family', 'Romance']",[],85,Croatia,"['Diedra', 'Zagreb Film', 'Zycon Media']"
268,Sakra,"Qiao Feng is the respected leader of a roving band of martial artists. After he is wrongfully accused of murder and subsequently exiled, Qiao Feng goes on the run in search of answers about his own mysterious origin story—and the unknown enemies working to destroy him from the shadows.",2023-01-16,"['Action', 'Drama']","['Donnie Yen', 'Yukee Chen', 'Liu Yase', 'Kara Hui Ying-Hung', 'Wu Yue']",130,"China, ","['Wishart Media Co., Ltd.', 'Super Bullet Pictures']"
269,Jailer,"Muthuvel Pandian lives a peaceful life with his family, but a sudden intrusion of unwelcome parties in the lives of his family forces him to turn to a path he had long left behind.",2023-08-10,"['Action', 'Crime', 'Thriller']","['Rajinikanth', 'Vinayakan', 'Vasanth Ravi', 'Yogi Babu', 'Ramya Krishnan']",165,India,['Sun Pictures']
270,Don't Look Away,"After a gang of criminals unintentionally unleashes a supernatural force onto the world, a young woman named Frankie is convinced she's being stalked by a killer mannequin. Frankie soon realizes that her friends are in jeopardy too. She must find the man who holds the key to stopping the killings, but Frankie knows that once you see the mannequin, there may be no end in sight, except for your own.",2023-09-01,"['Horror', 'Thriller']","['Kelly Bastard', 'Michael Mitton', 'Colm Hill', 'René Lai', 'Abu Dukuly']",83,Canada,"['Level 33 Entertainment', 'IndustryWorks Studios', 'Supersonic Pictures', 'Michaels']"
271,Scout's Honor: The Secret Files of the Boy Scouts of America,"Survivors, whistleblowers and experts recount the Boy Scouts of America's decadeslong cover-up of sexual abuse cases and its heartbreaking impact.",2023-09-06,"['Documentary', 'Crime']","['Michael Johnson', 'Michael Johnson']",94,United States of America,['Luminant Media']
272,Melchior the Apothecary: The Executioner's Daughter,"Melchior’s bride Keterlyn happens to witness an attack on a young man. The victim, who has lost his memory, does not know who he is and how he ended up in a Tallinn. A ring found at the scene leads Melchior to the trail of the nocturnal brotherhood, questions are also raised by the troupe of freaks who performed on fair day. Ominous signs suggest that not only is the stranger recovering from a murder attempt at risk, but Melchior and Keterlyn as well. At the same time, an inquisitor known as a ruthless witch hunter arrives in town. Melchior's ability to ""speak to the dead"" and to notice invisible traces of murder have raised the suspicion that he may be a dangerous heretic. And the place of the enemy of the church is at the stake…",2023-04-14,"['Crime', 'Thriller', 'History', 'Drama']","['Märten Metsaviir', 'Maarja Johanna Mägi', 'Alo Kõrve', 'Karl Robert Saaremäe', 'Ott Raidmets']",105,"Estonia, ","['Taska Film', 'Nafta', 'Apollo Film Productions', 'Maze Pictures', 'Film Angels Studio', 'INSCRIPT', 'HansaFilm', 'In Script']"
273,Office Race,"An unambitious office worker goes to great lengths—specifically 26.2 miles—to one up his exercise-obsessed, micromanaging boss.",2023-09-04,['Comedy'],"['Beck Bennett', 'Joel McHale', 'Kylie Bunbury', 'Alyson Hannigan', 'Erinn Hayes']",81,United States of America,"['MTV Entertainment Studios', 'MTV Studios']"
274,Trinket Box,"A newlywed interracial couple Mike and Ava move to a new home set on starting new beginnings, but an historical evil, locked away for years, is about to break free and wreak havoc on their relationship and their lives.",2023-03-31,"['Horror', 'Drama']","['Acoryé White', 'Augie Duke', 'Cindy Hogan', 'Barry Ratcliffe', 'Sandra Ellis Lafferty']",103,United States of America,['Anchored Lens Productions']
275,Trap House,"When a drug epidemic ravages the city, Detective Grant Pierce decides to take matters into his own hands, going undercover to infiltrate the infamous ""Trap House"": a madman's meth lab outfitted with lethal and sadistic booby traps.",2023-06-09,"['Crime', 'Thriller', 'Horror']","['Jaime M. Callica', 'Peter Bundic', 'Gigi Saúl Guerrero', 'Bruce Crawford', 'Benjamin Wilkinson']",82,United States of America,"['The Cartel', 'Cartel Pictures']"
276,Strays,"When Reggie is abandoned on the mean city streets by his lowlife owner, Doug, Reggie is certain that his beloved owner would never leave him on purpose. But once Reggie falls in with a fast-talking, foul-mouthed stray who loves his freedom and believes that owners are for suckers, Reggie finally realizes he was in a toxic relationship and begins to see Doug for the heartless sleazeball that he is.",2023-08-17,['Comedy'],"['Will Ferrell', 'Jamie Foxx', 'Will Forte', 'Isla Fisher', 'Randall Park']",93,United States of America,"['Universal Pictures', 'PictureStart', 'Lord Miller', 'Gloria Sanchez Productions', 'Rabbit Hole Productions', 'Dentsu']"
