,title,description,release_date,genres,actors,duration,country,productions
0,Desperation Road,"After 11 years in a Mississippi state prison, Russell Gaines struggles to leave his past sins behind him as he returns home to his stoic father, Mitchell. One fateful night he meets Maben, a young mother with nothing but a stolen gun and a murdered police deputy to her name. Desperate and on the run, Russell and Maben must trust one another to escape their own circumstances, before the truths of their intertwined violent past threatens to destroy them.",2023-10-19,"['Action', 'Drama', 'Thriller']","['Garrett Hedlund', 'Mel Gibson', 'Ryan Hurst', 'Willa Fitzgerald', 'Ella Thomas']",112,United States of America,"['Grindstone Entertainment Group', 'Capstone Pictures', 'Elevated Films', 'Hopeful Romantix Productions', 'Capstone Pictures']"
1,The Exorcist: Believer,"Since the death of his wife 12 years ago, Victor Fielding has raised their daughter, Angela on his own. But when Angela and her friend Katherine disappear in the woods, only to return three days later with no memory of what happened to them, it unleashes a chain of events that will force Victor to confront the nadir of evil and, in his terror and desperation, seek out the only person alive who has witnessed anything like it before: Chris MacNeil.",2023-10-04,['Horror'],"['Leslie Odom Jr.', 'Ann Dowd', 'Ellen Burstyn', 'Jennifer Nettles', 'Norbert Leo Butz']",111,United States of America,"['Blumhouse Productions', 'Morgan Creek', 'Rough House Pictures', 'Morgan Creek Productions']"
2,Maybe Baby,"When two pregnant women learn that the fertility clinic mistakenly swapped their eggs, they must navigate the error — and their disdain for each other.",2023-03-16,['Comedy'],"['Mille Dinesen', 'Lars Ranthe', 'Thomas Bo Larsen', 'Neel Rønholt', 'Laura Bro']",104,Denmark,"['SF Studios Production', 'SF Studios Production']"
3,Angela,"In this biopic about the life and death of Ângela Diniz, Angela meets Raul and believes she has found someone who loves her free spirit as much as she does. The overwhelming attraction makes the couple drop everything and live the dream of rebuilding their lives on the beach. But the relationship declines into abuse and violence, giving rise to one of the most remembered murders in Brazil.",2023-09-07,['Drama'],"['Isis Valverde', 'Gabriel Braga Nunes', 'Alice Carvalho', 'Gustavo Machado', 'Bianca Bin']",104,Brazil,"['Bravura Cinematográfica', 'Downtown Filmes', 'Star Original Productions', 'SPcine', 'Agência Nacional do Cinema - ANCINE', 'Fundo Setorial do Audiovisual', 'ProAC', 'Banco Regional de Desenvolvimento do Extremo Sul', 'Secretaria de Cultura e Economia Criativa do Estado de São Paulo', 'Secretaria Municipal de Cultura de São Paulo', 'Ancine']"
4,V/H/S/85,"Unveiled through a made-for-TV documentary, five chilling tales of found footage horror emerge to take viewers on a gore-filled journey through the grim underbelly of the forgotten 1980s.",2023-09-22,['Horror'],"['Alex Galick', 'Anna Sundberg', 'Chelsey Grant', 'Toussaint Morrison', 'Tyler Noble']",110,United States of America,"['Bloody Disgusting', 'Studio71', 'Luchagore Productions', 'Cinepocalypse', 'Studio 71']"
5,The Caine Mutiny Court-Martial,"A naval officer stands trial for mutiny after taking command from a ship's captain he felt was acting in an unstable fashion, endangering both the ship and its crew.",2023-09-03,"['Drama', 'TV Movie']","['Kiefer Sutherland', 'Jason Clarke', 'Jake Lacy', 'Monica Raymund', 'Lance Reddick']",109,United States of America,"['Loveless', 'Selsed House']"
6,Pet Sematary: Bloodlines,"In 1969, a young Jud Crandall has dreams of leaving his hometown of Ludlow, Maine behind, but soon discovers sinister secrets buried within and is forced to confront a dark family history that will forever keep him connected to Ludlow.",2023-09-23,['Horror'],"['Jackson White', 'Forrest Goodluck', 'Jack Mulhern', 'Henry Thomas', 'Natalie Alyn Lind']",87,"Canada, ","['Paramount Players', 'Di Bonaventura Pictures']"
7,Deadly Desire,"Sophia's dream wedding turns sinister when friends start dying at her bachelorette party. She suspects her obsessed best friend Melody, who harbors a deadly love.",2023-10-05,['Thriller'],"['Erica Peeples', ""D'Kia Anderson"", 'Leila Weisberg', 'Desiree Mitchell', 'Aungelique Scott']",90,United States of America,"['Bungalow Media', 'Movies by Misfits']"
8,Ballerina,"Grieving the loss of a best friend she couldn't protect, an ex-bodyguard sets out to fulfill her dear friend's last wish: sweet revenge.",2023-10-05,"['Action', 'Crime', 'Thriller']","['Jun Jong-seo', 'Kim Ji-hun', 'Park Yu-rim', 'Kim Moo-yul', 'Shin Se-hwi']",93,South Korea,"['Climax Studios', 'Lezhin Studio']"
9,A Deadly Invitation,"Eccentric millionaire Olivia sends her half sister Agatha, and a group of old acquaintances, a mysterious invitation for a weekend on her yacht, where they will discover the true motive behind this invitation: the celebration of… a murder?",2023-10-06,"['Comedy', 'Mystery']","['Maribel Verdú', 'Stephanie Cayo', 'Manolo Cardona', 'Aarón Díaz', 'Regina Blandón']",93,Mexico,['Windsor Films']
10,Brillantes,"Karine, a housekeeper of 34, is the full-time mother of 17 year-old Ziggy. When the company that employed her is taken over, subject to the laws of capitalism, Karine will have to choose between being true to herself, or lie to protect herself and her family.",2023-01-18,"['Comedy', 'Drama']","['Céline Sallette', 'Eye Haïdara', 'Thomas Gioria', 'Camille Lellouche', 'Souad Amidou']",103,France,"['Sensito Films', 'La Prod du Sud']"
11,Beyond the Light Barrier,"Beyond the Light Barrier is the autobiographical true story of Elizabeth Klarer, a South African woman, and Akon, an astrophysicist from Meton, a planet of Proxima Centauri. Elizabeth was taken in his spaceship to Meton where she lived with his family for four months and bore his son. She came back to Earth with very detailed technical information of how the light propulsion system used in the spaceship operated and other information that greatly impressed earth scientists.",2023-07-13,"['Documentary', 'Biography', 'Romance']",['John Kani'],95,South Africa,['Towerkop Creations']
12,Passages,A gay couple's marriage is thrown into crisis when one of them impulsively begins a passionate affair with a young woman.,2023-06-28,"['Drama', 'Romance']","['Franz Rogowski', 'Ben Whishaw', 'Adèle Exarchopoulos', 'Erwan Kepoa Falé', 'Radostina Rogliano']",92,"Germany, ",['SBS Productions']
13,Totally Killer,"Thirty-five years after the shocking murder of three teens, the infamous ""Sweet Sixteen Killer"" returns on Halloween night to claim a fourth victim. Seventeen-year-old Jamie ignores her overprotective mom's warning and comes face-to-face with the masked maniac and, on the run for her life, accidentally time travels back to 1987, the year of the original killings. Forced to navigate the unfamiliar and outrageous culture of the 1980s, Jamie teams up with her teen mom to take down the killer once and for all, before she's stuck in the past forever.",2023-09-28,"['Horror', 'Comedy']","['Kiernan Shipka', 'Olivia Holt', 'Julie Bowen', 'Kelcey Mawema', 'Randall Park']",106,United States of America,"['Blumhouse Television', 'Divide / Conquer']"
14,Senior Year: Love Never Fails,"In this sequel to ""Freshman Year (2019)"", CJ and Marcella struggle to protect their relationship against the rising tide of pressure from family, faith, and friends when a devastating discovery upends their lives.",2023-09-29,"['Drama', 'Family', 'Romance']","['Heidi Montag', 'Vernon Davis', 'Denise Boutte', ""Asia'h Epperson"", 'Benjamin A. Onyango']",107,United States of America,['Anchor Media Studios']
15,1521: The Quest for Love and Freedom,"In pre-Spanish era Philippines, a young native princess with goddess-like beauty falls in love with a dashing Spanish soldier. Against all odds, and pulled apart by their loyalties to their own people, they fight for their clandestine romance.",2023-10-02,"['Adventure', 'Drama', 'History']","['Danny Trejo', 'Michael Copon', 'Bea Alonzo', 'Hector David Jr.', 'Maricel Laxa']",115,United States of America,['Inspire Films']
16,Monster High 2,"Monster High 2 follows Clawdeen Wolf, Draculaura and Frankie Stein as they enter sophomore year at Monster High. The power of three is put to the test as they face even bigger challenges this year: new students, new powers, evolving friendships, and an even bigger threat that could not only tear their friendship apart, but could change the world forever.",2023-10-05,"['Family', 'Fantasy', 'Science Fiction', 'TV Movie']","['Nayah Damasen', 'Miia Harris', 'Ceci Balagot', 'Case Walker', 'Justin Derickson']",93,"Canada, ","['Mattel Television', 'Lighthouse Pictures', 'Nickelodeon Productions', 'Brightlight Pictures']"
17,Louis Tomlinson: All of Those Voices,"Ditching the typical glossy sheen of celebrity documentaries, this film gives audiences an intimate and unvarnished view of Louis Tomlinson's life and career. Through never-before-seen home movie footage and behind the scenes access to Louis’ sell-out 2022 World Tour, the documentary offers a unique perspective on what it's like to be a musician in today's fast-paced world.",2023-03-22,"['Documentary', 'Music']","['Louis Tomlinson', 'Oliver Wright', 'Matt Vines', 'Helene Horlyck', 'Lottie Tomlinson']",108,United Kingdom,"['78 Productions', 'Lightening Films']"
18,Headspace,This is an alien invasion film like no other – the aliens are miniature but still want to take over the world!,2023-05-26,"['Animation', 'Action', 'Adventure', 'Science Fiction']","['Bonko Khoza', 'Roberto Pombo', 'Chris van Rensburg', 'Jana Louw']",85,South Africa,"['Luma Animation', 'Animationville', 'The Ergo Company']"
19,Dreamin' Wild,"“Dreamin’ Wild” tells the true story of the Emerson family and the tumult that followed the success of their self-recorded pop-funk album of the same name, which went largely unnoticed until critics rediscovered and reappraised it decades later. Now, as an adult, Donnie is forced to confront the ghosts from the past and grapple with the emotional toll his dreams have taken on the family who supported him.",2023-08-04,"['Music', 'Drama']","['Casey Affleck', 'Walton Goggins', 'Zooey Deschanel', 'Beau Bridges', 'Chris Messina']",110,United States of America,"['River Road Entertainment', 'Innisfree Pictures', 'SPG3 Entertainment']"
20,Bite the Dust,"Two famed bounty hunters and an adventurer searching for missing orphan children, find themselves facing off against a cruel mining baron and the small army he uses to control his crooked town.",2023-06-13,"['Western', 'Action']","['Heather Wake', 'George Nelson', 'Russell Clay', 'Aaron Ginn-Forsburg', 'Russell Clay']",104,United States of America,[]
21,Beth Stelling: If You Didn't Want Me Then,"Comedian Beth Stelling is aging in dog years, camping with a fake husband and monitoring her dad's raccoon army in this slyly laid-back stand-up special.",2023-10-03,['Comedy'],['Beth Stelling'],59,United States of America,['800 Pound Gorilla Media']
22,House of Dolls,Three estranged sisters return home to collect an inheritance only to confront each other and trigger a downward spiral of murder inside of a giant Doll House.,2023-10-03,['Horror'],"['Dee Wallace', 'Meeko', 'Stephanie Troyak', 'Alicia Underwood', 'Alex Ryan Brown']",80,United States of America,[]
23,Crawlies,Little monsters run amok at a heavy metal festival.,2023-02-01,"['Horror', 'Comedy']","['Anne Theel', 'Johannes Barth', 'Benjamin Koch', 'Christoph Linke']",13,East Germany,['Roxxytainment']
24,Zombie Debra,Debra is trapped inside the mind of her own uncontrollable zombie body - a zombie body that is hungry for brains!,2022-10-22,"['Horror', 'Comedy']","['Kristal Theron', 'John Schumann', 'Mike McGowan', 'Luz Theron']",11,United States of America,['Lushy Lemming']
25,VERONICA Skeletons in the Closet,"When Veronica's night takes an unexpected turn, she's left to deal with the consequences of someone else's actions.",2022-04-18,"['Drama', 'Thriller', 'Horror', 'Crime']","['Chloe Howcroft', 'Brad Belemjian', 'Aaron Mirtes', 'Emily Parker', 'Brad Belemjian']",9,United States of America,['Stolen Thunder Pictures']
26,The Torturer,"Based on the short story from the Nailbiters collection, written and adapted by award-winning and bestselling author Paul Kane, this film tells the story of Andy Brooks - a man who wakes up in a cell and is consequently interrogated for information.",2020-05-02,['Thriller'],"['Paul T. Taylor', 'Lawrence Varnado', 'Robb Hudspeth', 'Richard Houghton', 'Kristin Keith']",40,United States of America,"['Little Spark Films', 'Samhain Productions']"
27,The Ezzera & Gore-Girl Horror Anthology,A woman finds an old VHS tape in her deceased parents' basement that contains a series of short horror films recorded from a bizarre late-night cable TV show.,2023-08-05,['Horror'],"['Julia Van Dam', 'Sam Au', 'Paige Hounsome']",93,Canada,['Higher Universe Pictures']
28,The Jester,"A malevolent being known as The Jester terrorizes the inhabitants of a small town on Halloween night, including two estranged sisters who must come together to find a way to defeat this evil entity.",2023-09-20,"['Horror', 'Thriller', 'Mystery']","['Matt Servitto', 'Lelia Symington', 'Delaney White', 'Ken Arnold', 'Mary Jane Pentony']",90,United States of America,['Epic Pictures Group']
29,Strange Way of Life,"After twenty-five years, Silva rides a horse across the desert to visit his friend, sheriff Jake. They celebrate the meeting, but the next morning, Jake tells him that reason for his trip is not to go down the memory lane of their friendship.",2023-05-26,"['Drama', 'Romance', 'Western']","['Ethan Hawke', 'Pedro Pascal', 'Jason Fernández', 'José Condessa', 'Manu Ríos']",32,"France, ","['El Deseo', 'Saint Laurent']"
30,Secrets in the Desert,"While on a road trip through the desert, Charlie and her boyfriend Aidan break down in the middle of nowhere. While Aidan waits for a tow truck, Charlie heads to a nearby diner to find help. When Aidan goes missing, Charlie finds herself stranded in a strange town unsure who to trust. The only thing she knows is she might just be their only chance to get out alive.",2023-10-01,['Thriller'],"['Kayleigh Anne Ruller', 'Cailin McDonald', 'Alex Trumble', 'Emmanuel Jalbert', 'Christopher Sky']",85,United States of America,['Hybrid']
31,Kindling,A group of young men return to their home town in order to turn their friend's final days into a celebration of life and friendship.,2023-04-21,"['Drama', 'Romance']","['George Somner', 'Conrad Khan', 'Wilson Radjou-Pujalte', 'Mia McKenna-Bruce', 'Rory J. Saper']",93,United Kingdom,"['LOWKEY Films', 'Limelight Productions', 'Haymarket Films', 'Lipsync Productions', 'Hyprr Films', 'Haymarket Films']"
32,Fables for the Witching Hour,"Late night lab technician Tina warns viewers of five tantalizing tales of terror and cautions them before watching. Little does she know a shadowy menace prowls the dark office halls, closing in on her as the witching hour fast approaches. Will she survive the night?",2023-10-02,['Horror'],"['Patrick Burkard', 'Lorren Cackowski', 'Corey Churchwell', 'Brooke Kayla']",82,United States of America,['OIC Productions']
33,Everything Is Both,It follows Dysha as she runs for her life and depends on a mysterious stranger to escape danger and pull off the biggest score of her life.,2023-06-02,"['Drama', 'Crime']","['Jason Mitchell', 'Barton Fitzpatrick', 'Stakiah Lynn Washington']",81,United States of America,['I See You Casting']
34,DogMan,"A boy, bruised by life, finds his salvation through the love of his dogs.",2023-09-27,"['Action', 'Drama', 'Crime']","['Caleb Landry Jones', 'Jojo T. Gibbs', 'Christopher Denham', 'Grace Palma', 'Marisa Berenson']",114,France,"['LBP', 'EuropaCorp', 'TF1 Films Production', 'Kinology']"
35,A Very Venice Romance,"Amy is a New York City executive working for Blossom, a wellness company that has been trying to launch deliverable meal prep kits. She needs to find a chef to help guide the venture and tries to woo Marcello Barone, an Italian chef. When Amy contacts him, he turns her down -- Marcello got burned in the past by the New York restaurant scene and is now enjoying running a cooking school in Venice. To try and persuade him, Amy enrolls in his cooking school, which is located in a stunning Venetian palazzo. While there, Marcello introduces Amy to the slow-paced pleasures of Italy and shows her how the kits can be healthy by using fresh ingredients. But when the cooking course is over, and Amy fails to lure Marcello back to New York, will she go back or stay in Venice?",2023-09-30,"['TV Movie', 'Comedy', 'Romance']","['Stephanie Leonidas', 'Raniero Monaco Di Lapio', 'Max Krause', 'J.R. Esposito', 'Alberto Basaluzzo']",84,United States of America,[]
36,The Re-Education of Molly Singer,"In college, attorney Molly Singer was the life of every party. Now, she's about to be fired because she can't leave her partying ways behind. Molly's boss, Brenda, tells Molly there's one way to save her job: re-enroll at her old alma mater, befriend Brenda's socially awkward son, Elliot, and take him from zero to campus hero.",2023-09-29,['Comedy'],"['Britt Robertson', 'Ty Simpkins', 'Nico Santos', 'Cierra Ramirez', 'Holland Roden']",120,United States of America,['Grindstone Entertainment Group']
37,Yucca Fest,It's all part of the plan as four friends in southern California decide to rob a music festival. The only problem; someone else already has their eye on the money.,2023-04-27,['Crime'],"['Monroe Cline', 'Jey Reynolds', 'Nicholas Harsin', 'Dale Van Slyke', 'Zachary Zarvos']",86,United States of America,['meddle media']
38,The Green Oak Guardian,"Movie star Grayson Kane is about to bring the hottest new comic book superhero to the big screen, but first, he must get the creator's approval...and she is no pushover.",2023-07-13,"['Comedy', 'Romance']","['Vernon Wells', 'Layla Cushman', 'Houston Rhines', 'Travis Hancock', 'Greg Siewny']",92,United States of America,"['Garnet Films', 'Stewbean Productions', 'United Front Films', 'You Are Beautiful Artistry']"
39,The Exorcists,"When his child is possessed by an unrelenting evil, a father hires three expert exorcists to purge the demon and save his family. But this demon is merely the gatekeeper to a true hellion that will be unleashed on earth if the trio of exorcists fail.",2023-09-29,"['Horror', 'Thriller', 'Comedy']","['Doug Bradley', 'Kate Hodge', 'Michelle Bauer', 'Denice Duff', 'Kayla Fields']",88,United States of America,['The Asylum']
40,The Astral Woods,A wife is forced into a life insurance scam and then abandoned at a cabin in the woods. She soon learns the land holds an ancient secret that is not from this world.,2023-04-18,"['Science Fiction', 'Horror']","['Alexandria Payne', 'Keekee Suki', 'Marvin Ritchie', 'Jason Skeen']",82,United States of America,['No Sleep Films']
41,Snapshot of Love,"Adrian is a Hollywood paparazzi assigned to get photos of a very elusive star, Parker Bennett. Little does she know, she'll get her chance when they both end up at the same BNB in the mountains of NC.",2022-03-15,"['TV Movie', 'Comedy', 'Romance']","['Lexi Giovagnoli', 'Benedict Mazurek', 'Victoria Nicole Dresden', 'Jennifer Adams', 'Rachel McCubbin']",90,United States of America,"[""G It's Entertainment"", 'Nicely Entertainment']"
42,Monsoon Lover,"Retreating to Cambodia after a failed relationship, American Thomas McIntrye becomes immersed in Cambodia's dangerous and pervasive sex trade. There he falls in love with a woman who helps him to regain his dignity.",2023-06-14,['Thriller'],"['Steve Boss', 'Constance Frenzen', 'Linda Shing', 'Pan Chan Than', 'Pou Danee']",95,Cambodia,['Living Dangerously Films']
43,Insidious Inferno,A secluded cottage is plagued by gruesome murders and unbeknownst to the inhabitants something other worldly lurks within the halls. Can the couple solve the mystery of the cursed grounds in time or will they open the door to the inferno?,2023-09-05,['Horror'],"['Neil Green', 'Steve Larkin', 'Chynna Rae Shurts', 'Stephanie Leet', 'Marcella Laasch']",97,United States of America,['Raptor FX Studio']
44,HURRY MONDAY,"After being betrayed on a job, a thief must scramble to fence the stolen gems before her murderous ex partners catch up to her",2023-07-02,['Crime'],"['Sofia Salgado', 'Wesley Renard', 'Crawford Hazelwood']",90,United States of America,['Reina Productions']
45,God 2.0,God answers unscripted questions on live TV as billions of onlookers watch in awe.,2023-07-13,['Drama'],"['Natallia Bulynia', 'Mike Gassaway', 'Bhasker Patel', 'C.M.J. Taylor', 'Monika Herberova']",93,United Kingdom,['Sendcakefilms']
46,Get Close,"Tony loses his dad while serving time for a drug offense. When he gets out, he reckons with his grieving family, a vengeful dealer, and his own guilt.",2023-03-03,"['Action', 'Crime']","['Jamal Woolard', 'Markice Moore']",99,United States of America,['Both Sides of The Camera Productions']
47,Ditch Boys,"It was supposed to be the party of the year for these five unsuspecting, self-absorbed, young adults. But this story isn't about them or the gory events that were about to unfold. This story is about the unlikely friendship between a well-mannered scientist and two loud-mouth, vulgar stoners who must face a true evil if they want to survive. Created out of love and desperation, this evil has a name and will devour anyone in her path except for her beloved creator.",2023-05-01,"['Comedy', 'Horror']","['Cyntia Balkis', 'Salvatore Bellavia III', 'Alisa Bellavia', 'Anthony Bellavia', 'Louis Bellavia']",71,United States of America,"['Dubway Studios', 'A Thomas Hatz and Louis Bellavia Production']"
48,Deliver Us,"When a nun in a remote convent claims immaculate conception, the Vatican sends a team of priests to investigate, concerned about an ancient prophecy that a woman will give birth to twin boys: one the Messiah, the other the Anti-Christ.",2023-08-30,['Horror'],"['Alexander Siddig', 'Thomas Kretschmann', 'Maria Vera Ratti', 'Lee Roy Kunz', 'Marko Leht']",103,"Estonia, ","[""World's Fair Pictures""]"
49,Corsicana,Deputy United States Marshal Bass Reeves reunites with his former partner turned fugitive Sam Tanner. Reeves and Tanner are in a race against time as they track Jack Donner and his vicious outlaw gang of killers to the oil-rich Texas town of Corsicana.,2022-08-26,['Western'],"['Stacey Dash', 'Isaiah Washington', 'Lew Temple', 'Kevin Gage', 'Noel Gugliemi']",102,United States of America,[]
50,Child Machine,"9-year old girl, vacationing with her parents in a remote bog, gets trapped in a secret bunker where an AI-startup is nearing the completion of super-intelligent AI. Both the girl and the AI want to escape.",2023-05-12,"['Science Fiction', 'Comedy']","['Johann Urb', 'Anna Elisabeth Leetmäe', 'Yulin Ng', 'Priit Pius', 'Thomas Urb']",96,Estonia,['Tallifornia']
51,Beyond Existence,"Ellen, a government agent is following her orders to seek and destroy a professor who's been trading government information to foreign entities. However, in a twist of fate the Professor's life is spared and she begins to protect him, as the unlikely couple find themselves on a road trip through barren landscapes of England.",2022-02-16,"['Science Fiction', 'Thriller']","['Amelia Clay', 'Gary Mackay', 'Vincent Vermignon', 'Pauline Turner', 'Bamshad Abedi-Amin']",96,United Kingdom,['Capital Films']
52,Beaten to Death,"A desperate choice leads Jack down a path that leaves him beaten and bruised as he struggles against man, nature and his own insanity. Stranded in the middle of nowhere after barely surviving a horrific assault, Jack encounters one local after another and quickly learns that a sick game of cat and mouse is about to begin. Battling the deranged country psychos and the harsh landscape, Jack must go to extreme lengths to survive.",2023-09-01,['Horror'],"['Thomas Roach', 'David Tracy', 'Nicole Tudor', 'Justan Wagner', 'June Clarke']",92,Australia,"['Stud Ranch', 'Welcome Villain Films']"
53,Appendage,"After hitting a breaking point, Hannah's inner thoughts physicalize into a monstrous creature that threatens to upend her life.",2023-03-11,"['Horror', 'Comedy', 'Drama']","['Hadley Robinson', 'Emily Hampshire', 'Kausar Mohammed', 'Brandon Mychal Smith', 'Desmin Borges']",94,United States of America,"['Fever Dream Studios', '20th Digital Studio']"
54,Amish Stud: The Eli Weaver Story,"Devoted wife and mother Barbara Weaver led a traditional life in her conservative Ohio Amish community. Her husband, however, gave into the “temptations of women and technology” forbidden to the community, leading a secret life online as the “Amish Stud.” Furthermore, he shared with mistresses his desire to kill his wife — something that made him the prime suspect when Barbara is found dead.",2023-09-30,"['TV Movie', 'Crime', 'Drama']","['Luke Macfarlane', 'Miranda MacDougall', 'Kirsten Vangsness', 'Mark Krysko']",90,United States of America,['Milojo Productions']
55,AIMEE: The Visitor,"Scott Keyes is a brilliant but misanthropic computer hacker who generally prefers porn to living women and computers to human beings. But Keyes’ life is about to be turned upside-down. Thanks to some code-breaking by his partners Hunter and Gazelle, Keyes is finally able to unlock AIMEE, an incredibly advanced Artificial Intelligence program that appears in the form of a beautiful and seductive woman. But what a smitten Keyes doesn’t realize, and what Gazelle soon discovers, is that AIMEE is an advanced infiltration program and has been designed to learn from whoever downloads her, become whatever he most desires, and in the process, to take over, control, dominate, replicate, spread – and ultimately destroy anyone who opposes her.",2023-09-29,['Thriller'],"['Dallas Schaefer', 'Faith West', 'Felix Merback', 'Tom Dacey Carr', 'Joe Kurak']",69,United States of America,['Full Moon Features']
56,A Southern Haunting,"After receiving 40-acres, an ex-slave family battles man and myth to uncover the truth behind their land.",2023-06-30,"['Horror', 'Thriller']","['Merle Ackelson', 'Robert Ackelson', 'Donovan Ailton', 'Gerald Alston', ""J'Lyric Ashby""]",93,United States of America,['Luminary Creative']
57,1943,"From the director of ""Eden Prime,"" ""Hardline 2nd Term,"" Kennedy Lucas' next thriller expands to the era of the 1940s, when Detective John Clark uncovers the murder mystery of young impressionable women in the heart of Hollywood.",2023-01-01,['Thriller'],"['Drew Hopper', 'Christopher Goodman', 'Kennedy Lucas', 'Haley Bailey', 'Kenan Grant']",81,United States of America,"['Raw Pictures', 'K.L.P Entertainment', 'Kennedy Lucas Films', 'Silver Sky Studios', 'Swanky Studios']"
58,XIII,,2023-06-23,['Drama'],"['Pauline Brion', 'Marbela Sénéchal', 'Alexia Bihel', 'Léa Gay Senac', 'Luca Alessi']",47,France,['Lycée Marguerite Filhol']
59,The White Goddess,"An injured Andrew ends up drawn into the complicated world of Rebecca, a solitary writer whose obsession with a divine mythological character has taken over her life.",2022-03-02,"['Horror', 'Drama', 'Fantasy', 'Thriller']","['Morgan Everitt', 'Jonathan Peck']",72,United States of America,['Indie Rights']
60,The Roof,"After being sent to stay with his grandfather, a Cheyenne teen uncovers a connection to his family and community in a way he never thought possible.",2023-07-23,['Drama'],"['Wes Studi', 'Phoenix Wilson', 'Delanna Studi', 'Buffalo Barbie', 'Glen Begay']",20,United States of America,['Walt Disney Pictures']
61,The Oskars Fantasy,"Desperate to win an award, a producer hires real supernatural monsters to act in his horror film — but their fee may not be the bargain he thinks it is.",2023-06-28,"['Comedy', 'Horror']","['Joross Gamboa', 'Kate Alejandrino', 'Paolo Contis', 'Faye Lorenzo', 'Yukii Takahashi']",110,Philippines,['Mavx Productions']
62,The Ghost,"12-year-old Clarice Cheung feels like she’s invisible — especially next to her older sister Naomi. But when a fight breaks out at the dinner table, it awakens a ghost that begins taking the family, one by one. Now Clarice and Naomi must work together to stop this powerful spirit, before their family is torn apart forever.",2023-09-29,"['Drama', 'Fantasy']","['Hana Marie Kim', 'Andie Ju', 'Sook Hyung Yang', 'Eddie Shin', 'Ayvah Jordan Vasquez']",20,United States of America,[]
63,Project CC,A brilliant child scientist must join forces with her sister when a cloning experiment goes awry.,2023-09-29,['Drama'],"['Jessica Mikayla Adams', 'A’lasia Simone', 'Jordyn Curet', 'Shelley Meche’tte', 'Rhomeyn Johnson']",18,United States of America,['Walt Disney Pictures']
64,Pinky,"When Pinky discovers that he has the power to read the energy of others, he starts to see people for who they truly are. Which makes life, and losing his virginity, a lot more interesting.",2022-04-01,['Fantasy'],"['Luke Anthony', 'Heather Nicol', 'Anthony Stewart Head', 'Lucy Aarden', 'Amy Alexander']",120,United Kingdom,['ESA Pictures']
65,Pink Rabbit,"The protagonist Martha’s daily trip from work to home and her young son becomes a nightmare as a figure dressed like a Pink Rabbit crosses her path.  The Pink Rabbit, played by professional wrestler Roland Ionas Bialke forces her into three bloody quests, through three different time periods. Can Martha win these challenges and keep her promise to put her son to bed?",2022-09-13,"['Horror', 'Fantasy']","['Zetkin Yikilmis', 'Roland Bialke', 'Claus-Peter Seifert', 'Jakob Maximilian', 'David Ketter']",105,Germany,['Yikilmis Filmproduktion']
66,People's Choice Country Awards 2023,"The 2023 People's Choice Country Awards, the inaugural ceremony, is set to be held on September 28, 2023 at the Grand Ole Opry in Nashville, Tennessee hosted by country music superstars, Little Big Town. The ceremony will be broadcast live on NBC and will be available to stream on Peacock.",2023-09-28,"['Music', 'Reality']","['Phillip Sweet', 'Jimi Westbrook', 'Karen Fairchild', 'Kimberly Schlapman', 'Blake Shelton']",89,United States of America,['Universal Television']
67,Mystery Island,"London Police psychiatrist Dr. Emilia Priestly needs to take a relaxing break from her stressful job, so her wealthy friend, Baroness Jane Alcott, invites her to Mystery Island, an immersive murder-mystery-themed resort hosting a special retreat for the original investors. As the mystery game begins, tragedy strikes: John Murtaugh the resort’s reclusive founder, is murdered. The visitors are confined to the island as local detective Jason Trent investigates the case. Once Emilia proves her innocence, she makes use of her special skills to help Jason find the murderer. The lines between game and reality are blurred as they unravel the web of romance, revenge, and betrayal behind the resort, its guests, and its elusive founder.",2023-09-29,"['TV Movie', 'Mystery']","['Elizabeth Henstridge', 'Charlie Weber', 'Kezia Burrows', 'Robert Getman', 'Francisco Labbe']",84,United States of America,['The Cartel']
68,Muzzle,"LAPD K-9 officer Jake Rosser has just witnessed the shocking murder of his dedicated partner by a mysterious assailant. As he investigates the shooter’s identity, he uncovers a vast conspiracy that has a chokehold on the city in this thrilling journey through the tangled streets of Los Angeles and the corrupt bureaucracy of the LAPD.",2023-09-29,"['Action', 'Crime', 'Drama', 'Thriller']","['Aaron Eckhart', 'Stephen Lang', 'Diego Tinoco', 'Leslie Black', 'Penelope Mitchell']",100,United States of America,"['Highland Film Group', 'Broken Open Pictures', 'Slow Burn', 'Studio507', 'Highland Film Group (HFG)']"
69,Maxine,"Allie is a newly out teen who is keeping her girlfriend a secret from her Chinese American family. During her family’s celebration of the Hungry Ghost Festival, Allie meets the ghost of a long lost relative named Maxine, who was queer when she was alive several decades ago. Though they come from different times, they find that they share many feelings about struggling to belong, especially within their own family’s legacy.",2023-07-23,['Drama'],"['Ben Wang', 'Margaret Cho', 'Isabella Day', 'Kelvin Han Yee', 'Celeste Den']",20,United States of America,['Walt Disney Pictures']
70,Forest of Death,"As friends settle down in their remote cabin for a relaxing weekend, a skin walker prowls outside, waiting to strike. The friends quickly realize that their carefree getaway has turned into a nightmare. As the night wears on, they must face the horror stalking them and fight for their lives.",2023-03-31,['Horror'],"['Chloë Marie Rhoades', 'Tyler Miller', 'Kellan Rudnicki', 'Benjamin L Newmark', 'Reggie Johnson']",75,United States of America,['DBS Films Orlando']
